STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,009,251400,5053,+42.699412,-071.179159
25,009,251500,6149,+42.692533,-071.167351
25,009,251600,5977,+42.698368,-071.152525
25,009,251700,5145,+42.690545,-071.149940
25,009,251800,7154,+42.684576,-071.166088
25,009,252101,3509,+42.705010,-071.196661
25,009,252102,3798,+42.707654,-071.229141
25,009,252201,3230,+42.717602,-071.208873
25,009,252202,3198,+42.733723,-071.227385
25,009,252300,6552,+42.723971,-071.192486
25,009,252400,4175,+42.722285,-071.176898
25,009,252501,3874,+42.724599,-071.155914
25,009,252502,4865,+42.733062,-071.163315
25,009,252601,6621,+42.736979,-071.133633
25,009,252602,4407,+42.759644,-071.161352
25,009,252603,3026,+42.751416,-071.170332
25,009,253100,5352,+42.698645,-071.131199
25,009,253201,2913,+42.702262,-071.120448
25,009,253202,6253,+42.679054,-071.124422
25,009,253203,4160,+42.692692,-071.098373
25,009,253204,5329,+42.649064,-071.083649
25,009,253205,4345,+42.666278,-071.061771
25,009,254100,6009,+42.670315,-071.148312
25,009,254200,5018,+42.659820,-071.134521
25,009,254301,3893,+42.631305,-071.139633
25,009,254302,4493,+42.623869,-071.114679
25,009,254401,3235,+42.656896,-071.174676
25,009,254402,6713,+42.664428,-071.210978
25,009,254403,3840,+42.634403,-071.167799
25,009,260100,4789,+42.778601,-071.082111
25,009,260200,3437,+42.779807,-071.073907
25,009,260301,4466,+42.770925,-071.053819
25,009,260302,3091,+42.796862,-071.036219
25,009,260401,3820,+42.805166,-071.102080
25,009,260402,6211,+42.784433,-071.141729
25,009,260500,3788,+42.794366,-071.078593
25,009,260600,3377,+42.788438,-071.085516
25,009,260700,4498,+42.785034,-071.098561
25,009,260800,4631,+42.773642,-071.091848
25,009,260900,5089,+42.771832,-071.104363
25,009,261000,3942,+42.767360,-071.081406
25,009,261101,4782,+42.756987,-071.072412
25,009,261102,4958,+42.751584,-071.098589
25,009,262100,6338,+42.835590,-071.005809
25,009,263100,4235,+42.794597,-070.978141
25,009,264100,6459,+42.752946,-071.023652
25,009,265101,3645,+42.721337,-070.999392
25,009,265102,4538,+42.730160,-070.962027
25,009,266100,4032,+42.845392,-070.957934
25,009,266200,5194,+42.864591,-070.940387
25,009,266300,3709,+42.848573,-070.925412
25,009,266400,3348,+42.861624,-070.920086
25,009,267101,3573,+42.841924,-070.831290
25,009,267102,4710,+42.855330,-070.874370
25,009,268100,2668,+42.811622,-070.922224
25,009,268200,6322,+42.819946,-070.897387
25,009,268300,4126,+42.810821,-070.877270
25,009,268400,4300,+42.806402,-070.855577
25,009,269100,6666,+42.772817,-070.884364
25,009,270100,5856,+42.715159,-070.907409
25,009,990100,0,+42.506747,-070.617130
25,011,040100,4494,+42.664709,-072.805642
25,011,040200,4340,+42.666950,-072.551020
25,011,040300,3032,+42.682161,-072.451150
25,011,040400,3428,+42.600022,-072.415679
25,011,040501,4264,+42.590156,-072.309857
25,011,040502,3575,+42.592069,-072.280886
25,011,040600,4612,+42.472940,-072.435150
25,011,040701,4213,+42.599883,-072.558339
25,011,040702,4224,+42.562321,-072.530271
25,011,040800,5180,+42.449856,-072.584806
25,011,040900,5125,+42.503866,-072.608046
25,011,041000,3271,+42.620102,-072.612632
25,011,041100,3603,+42.604833,-072.583367
25,011,041200,3156,+42.601285,-072.598313
25,011,041300,4642,+42.590459,-072.601897
25,011,041400,2784,+42.586490,-072.610735
